page,country,rev_id,articlequality
Kazimierz Drozd,Poland,712891354,isionNotFound: Could not find revision ({revision}:712891354)
Lech Stanisław Lewandowski,Poland,712891378,isionNotFound: Could not find revision ({revision}:712891378)
Felicja Gwincińska,Poland,712891476,isionNotFound: Could not find revision ({revision}:712891476)
Shah Seyyed Ali Kazemi,Iran,713368646,isionNotFound: Could not find revision ({revision}:713368646)
Fawzi al-Ghazzi,Syria,714352602,tDeleted: Text deleted (datasource.revision.text)
Armin Halitović,Bosnia-Herzegovina,715273866,isionNotFound: Could not find revision ({revision}:715273866)
Gissur Petersson,Iceland,715534283,isionNotFound: Could not find revision ({revision}:715534283)
Bakhtiar Mahmud Kasuri,Pakistan,717927381,isionNotFound: Could not find revision ({revision}:717927381)
Friedrich Peus,Germany,719521006,isionNotFound: Could not find revision ({revision}:719521006)
Talib Garingan Pawaki,Philippines,719581803,isionNotFound: Could not find revision ({revision}:719581803)
Christian Raster,Germany,720054719,isionNotFound: Could not find revision ({revision}:720054719)
Kimball–Snow–Woolley family,United States,720356159,isionNotFound: Could not find revision ({revision}:720356159)
Malak Zmarak Khan Mandokhail,Pakistan,720688837,isionNotFound: Could not find revision ({revision}:720688837)
Max Adolf Richter,Germany,721509220,isionNotFound: Could not find revision ({revision}:721509220)
David J. Reimer,Canada,724052271,isionNotFound: Could not find revision ({revision}:724052271)
Eistein Rajaonary,Madagascar,726600165,isionNotFound: Could not find revision ({revision}:726600165)
Mahesh Kumar Malani,Pakistan,730950147,isionNotFound: Could not find revision ({revision}:730950147)
Patrick Nwakamma Ottih,Cameroon,734957625,isionNotFound: Could not find revision ({revision}:734957625)
Liam Mac an Ultaigh,Ireland,736660951,isionNotFound: Could not find revision ({revision}:736660951)
Alois Buttinger,Austria,737123608,isionNotFound: Could not find revision ({revision}:737123608)
Marcel Hatch,Canada,738514517,isionNotFound: Could not find revision ({revision}:738514517)
Rajabboy Norkallayev,Tajikistan,738984692,isionNotFound: Could not find revision ({revision}:738984692)
Bia Venâncio,Brazil,747688056,isionNotFound: Could not find revision ({revision}:747688056)
Pat Bridson,Ireland,747922835,isionNotFound: Could not find revision ({revision}:747922835)
Wanmelbu,Vanuatu,749326717,isionNotFound: Could not find revision ({revision}:749326717)
Diyar Khan Yaqubi,Pakistan,754739349,isionNotFound: Could not find revision ({revision}:754739349)
Arthur Gregorian,Armenia,756697478,isionNotFound: Could not find revision ({revision}:756697478)
Marcelo Cerqueira,Brazil,757313957,isionNotFound: Could not find revision ({revision}:757313957)
Ahmad Balal,Pakistan,757961591,isionNotFound: Could not find revision ({revision}:757961591)
Saleh Al Shal,United Arab Emirates,760194556,isionNotFound: Could not find revision ({revision}:760194556)
Josef Siegele,Austria,760195376,isionNotFound: Could not find revision ({revision}:760195376)
Elisha Shapiro,United States,763558111,isionNotFound: Could not find revision ({revision}:763558111)
Lennox Farrell,Canada,764019224,isionNotFound: Could not find revision ({revision}:764019224)
Obuobia Darko-Opoku,Ghana,764911200,isionNotFound: Could not find revision ({revision}:764911200)
Zeev Schwartz,Israel,765662083,isionNotFound: Could not find revision ({revision}:765662083)
Giammarco Montanari,Italy,766101638,isionNotFound: Could not find revision ({revision}:766101638)
Muhammad Abdul Haque,Bangladesh,768013050,isionNotFound: Could not find revision ({revision}:768013050)
Rajat Majumdar,India,768871687,isionNotFound: Could not find revision ({revision}:768871687)
Sheikh Zakaria Ansari,Iran,771213598,isionNotFound: Could not find revision ({revision}:771213598)
Muhammad Yar Khan Mandokhail,Pakistan,771642775,isionNotFound: Could not find revision ({revision}:771642775)
Hari Bahadur Rai,Nepal,773355081,isionNotFound: Could not find revision ({revision}:773355081)
Khaled Negm,Egypt,774023957,tDeleted: Text deleted (datasource.revision.text)
Phil Hobson,United Kingdom,774293013,isionNotFound: Could not find revision ({revision}:774293013)
John Palino,New Zealand,777163201,isionNotFound: Could not find revision ({revision}:777163201)
Jacek Maciej Wenderlich,Poland,779101752,isionNotFound: Could not find revision ({revision}:779101752)
Mohamad Hamim Aliyas,Singapore,779135011,isionNotFound: Could not find revision ({revision}:779135011)
Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,isionNotFound: Could not find revision ({revision}:779954797)
Rana Assad Amin,Pakistan,779957437,isionNotFound: Could not find revision ({revision}:779957437)
Batul Soltani,Iran,782170063,isionNotFound: Could not find revision ({revision}:782170063)
Rose Sales,Brazil,783382630,isionNotFound: Could not find revision ({revision}:783382630)
Mariano Lazcano,Spain,786721553,isionNotFound: Could not find revision ({revision}:786721553)
Mian Fareed Abbas Kathia,Pakistan,787181453,isionNotFound: Could not find revision ({revision}:787181453)
Abdolmajid Pirzadeh Jahromi,Iran,787391918,isionNotFound: Could not find revision ({revision}:787391918)
Abdul Latif Khalid Cheema,Pakistan,787398581,isionNotFound: Could not find revision ({revision}:787398581)
Mahesh Kumar,Pakistan,788310383,isionNotFound: Could not find revision ({revision}:788310383)
Vithal Chavan,India,788722110,isionNotFound: Could not find revision ({revision}:788722110)
Jaybahadur Hitan Magar,Nepal,788844423,isionNotFound: Could not find revision ({revision}:788844423)
Fernando Linera,Spain,789080627,isionNotFound: Could not find revision ({revision}:789080627)
Harald Haas (Pirate Party),Austria,789271422,isionNotFound: Could not find revision ({revision}:789271422)
Zhang Yuhuan,China,789281061,isionNotFound: Could not find revision ({revision}:789281061)
Hameeda Waheeduddin,Pakistan,789285762,isionNotFound: Could not find revision ({revision}:789285762)
Zheng Shekui,China,789286413,isionNotFound: Could not find revision ({revision}:789286413)
Farouk Sharif,Philippines,790028876,isionNotFound: Could not find revision ({revision}:790028876)
Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,isionNotFound: Could not find revision ({revision}:790147995)
Claybourn – Claiborne – Clayborn family,United States,791866288,isionNotFound: Could not find revision ({revision}:791866288)
Marko Selakovic,Serbia,792400552,isionNotFound: Could not find revision ({revision}:792400552)
Caleb Crosby,United States,792857662,isionNotFound: Could not find revision ({revision}:792857662)
Draft:John Johansson i Gränö,Sweden,792933603,isionNotFound: Could not find revision ({revision}:792933603)
Tibor Gaal de Hatvan,Hungary,793280504,isionNotFound: Could not find revision ({revision}:793280504)
Chukwuemeka Ihedioha,Nigeria,794311724,tDeleted: Text deleted (datasource.revision.text)
List of Ghana heads of state by age,Ghana,794866848,isionNotFound: Could not find revision ({revision}:794866848)
Alfred Moungara Moussotsi,Gabon,794990759,isionNotFound: Could not find revision ({revision}:794990759)
Fraz Wahlah,Pakistan,795588781,isionNotFound: Could not find revision ({revision}:795588781)
Dan Hilton,Canada,797311794,isionNotFound: Could not find revision ({revision}:797311794)
Maria Hadjipavlou,Cyprus,798891126,isionNotFound: Could not find revision ({revision}:798891126)
V. Sadasivan,India,799263010,isionNotFound: Could not find revision ({revision}:799263010)
Mohd Eekmal Ahmad,Malaysia,799540668,isionNotFound: Could not find revision ({revision}:799540668)
Raja Muhammad Akbar Khan,Pakistan,799880073,isionNotFound: Could not find revision ({revision}:799880073)
Rich Eychaner,United States,799933274,isionNotFound: Could not find revision ({revision}:799933274)
Craig Huey,United States,800144885,isionNotFound: Could not find revision ({revision}:800144885)
Donald Jeffrey Large,United States,800299837,isionNotFound: Could not find revision ({revision}:800299837)
Dragan Klaric,Sweden,800471126,isionNotFound: Could not find revision ({revision}:800471126)
Bashir Ahmed Sarki,Pakistan,800574730,isionNotFound: Could not find revision ({revision}:800574730)
Anwara Ali,United Kingdom,801306872,isionNotFound: Could not find revision ({revision}:801306872)
Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,isionNotFound: Could not find revision ({revision}:801638735)
Ouyang Xiu,China,801835819,tDeleted: Text deleted (datasource.revision.text)
Ali Asghar Khan (politician),Pakistan,802148439,isionNotFound: Could not find revision ({revision}:802148439)
Ananda Syahendar Perdana,Indonesia,802475516,isionNotFound: Could not find revision ({revision}:802475516)
Ezatullah Mujahid,Afghanistan,802515929,isionNotFound: Could not find revision ({revision}:802515929)
Maciej Filip Zegarski,Poland,802765034,isionNotFound: Could not find revision ({revision}:802765034)
Bernard Binlin Dadié,Ivorian,802904214,tDeleted: Text deleted (datasource.revision.text)
Than Htay,Myanmar,802937732,tDeleted: Text deleted (datasource.revision.text)
Anatoliy Peshko,Ukraine,803413615,isionNotFound: Could not find revision ({revision}:803413615)
Kevin Hardwick,United States,803484030,isionNotFound: Could not find revision ({revision}:803484030)
David Sparrow,Canada,803784385,isionNotFound: Could not find revision ({revision}:803784385)
Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,isionNotFound: Could not find revision ({revision}:804057093)
João Victor Guedes,Brazil,804118645,isionNotFound: Could not find revision ({revision}:804118645)
Kampa Borgoyary,India,804158476,isionNotFound: Could not find revision ({revision}:804158476)
Lucia Lucchesi-Ghiselli,Italy,804473605,isionNotFound: Could not find revision ({revision}:804473605)
Lib Peck,United Kingdom,804697858,isionNotFound: Could not find revision ({revision}:804697858)
Dudley–Winthrop family,United States,804791599,isionNotFound: Could not find revision ({revision}:804791599)
William M. Rainach,United States,804945338,isionNotFound: Could not find revision ({revision}:804945338)
David J. Dwork,United States,804946658,isionNotFound: Could not find revision ({revision}:804946658)
Lav Grigorije Pajkić,Serbia,805041930,isionNotFound: Could not find revision ({revision}:805041930)
Richards–Young family,United States,805211553,isionNotFound: Could not find revision ({revision}:805211553)
Ian Axton,United Kingdom,805420467,isionNotFound: Could not find revision ({revision}:805420467)
Political positions of Pat Buchanan,United States,805788048,isionNotFound: Could not find revision ({revision}:805788048)
Hossein Khan Movaghar,Iran,805936041,isionNotFound: Could not find revision ({revision}:805936041)
Valeriy Panasenko,Moldova,805993160,isionNotFound: Could not find revision ({revision}:805993160)
Edivaldo Holanda Júnior,Brazil,806030859,isionNotFound: Could not find revision ({revision}:806030859)
Rajah Alon,Philippines,806179522,isionNotFound: Could not find revision ({revision}:806179522)
Golam Mohammad Rabbani,Bangladesh,806223655,isionNotFound: Could not find revision ({revision}:806223655)
Mohammed Naguib,Egypt,806372496,tDeleted: Text deleted (datasource.revision.text)
Rajah Gambang,Philippines,806695084,isionNotFound: Could not find revision ({revision}:806695084)
Olajide Awosedo,Nigeria,806811023,isionNotFound: Could not find revision ({revision}:806811023)
Dirtbag Left,United States,807161510,isionNotFound: Could not find revision ({revision}:807161510)
Guy Georgias,Zimbabwe,807196681,tDeleted: Text deleted (datasource.revision.text)
John Rose (Trotskyist),United Kingdom,807336308,isionNotFound: Could not find revision ({revision}:807336308)
Jalal Movaghar,Iran,807367030,isionNotFound: Could not find revision ({revision}:807367030)
Mohsen Movaghar,Iran,807367166,isionNotFound: Could not find revision ({revision}:807367166)
King Gutierrez,Philippines,807479587,isionNotFound: Could not find revision ({revision}:807479587)
Ajay Kannoujiya,India,807484325,isionNotFound: Could not find revision ({revision}:807484325)
